name,Commuty
丹穂,1
須本・州本,1
宍唯・宍咋,2
岩木,2
阿津,3
尼崎,3
由良,4
平山,4
伊部・伊阝,4
郡,4
方上,4
家嶋,4
網干・アホシ,4
三原,5
営嶋・栄嶋,5
坂越,5
松江,5
別所,5
手嶋,5
下津井,6
引田,6
観音寺,6
惣寺院,7
福泊,7
室津,8
伊保角,8
那波,8
杭瀬,8
松原,9
塩飽,9
平嶋,10
香西・幸西,10
嶋,10
魚崎,10
須磨,10
宇野,11
日成・日那志,11
伊津,11
今在家,11
靍箸,11
兵庫（地下）,11
多田津・多々津,12
野上,12
直利・なわり・奈半利,12
蒲苅,13
竹口,13
与井,13
牛窓,13
門司・文字,13
竹原,14
麦井・牟井・牟木,14
尾道,14
笠岡,14
連嶋,14
虫明・虫上,14
下関,14
志度,14
楊井,14
犬嶋,15
武屋・撫養,16
西宮,16
先浜,16
前浜,16
あなか・阿那賀,17
八浜・八潟,17
日比,18
番田,18
中庄,18
方本,18
大畠,18
高崎,19
野原,19
南浦,20
垂水,20
林（港）,20
はか田・葉賀田,20
西宛,21
橘,22
都志,22
飾万津,22
田嶋,23
蕭江,23
鞆,23
室,23
宇田津・宇多津,23
富田,23
さなき,24
堺,24
瀬戸田,25
海部,25
別宮,25
岩屋,25
二見,25
梶嶋（椎嶋）,25
庵治・阿治・菴治,25
上関,25
土佐泊,26
三庄,26
阿賀・英賀,26
船上,26
今郷,26
三本松,26
甲浦,26
弓削・以下・弓梳,27
勢兵衛,1
孫衛門,1
大夫左衛門,1
下次,2
形部四郎,2
左兵衛門,2
善元,2
右馬,3
五郎,3
左近五郎,3
左近四郎,3
十郎,3
浄用,3
中務,3
二郎三郎,3
二郎太郎,3
六郎,3
六郎太郎,3
右近二郎,4
衛門,4
衛門五郎,4
衛門二郎介,4
衛門二郎助,4
介,4
形部大夫,4
五郎二郎大夫,4
左衛門七郎,4
左衛門二郎,4
左近二郎,4
三郎二郎,4
治部太郎,4
助大夫,4
助二郎,4
小兵衛太郎,4
小兵衛二郎,4
新左衛門,4
掃部,4
掃部太郎,4
孫大夫,4
孫六,4
大夫四郎,4
二郎三郎大夫,4
八兵衛二郎,4
与平四郎,4
六郎次郎,4
六郎二郎,4
衛門太郎,5
宮内衛門,5
形部二郎,5
五郎衛門,5
五郎太郎,5
四郎,5
庄司三郎,5
僧太郎,5
孫太郎,5
大夫次郎,5
兵衛太郎,5
兵衛二郎,5
平内,5
又五郎,5
横山,6
介二郎,6
広瀬,6
太郎大夫,6
二郎九郎,6
兵衛四郎,6
又二郎,6
与五郎,6
六郎左衛門,6
監物,7
孫二郎,7
衛門二郎,8
三郎,8
小衛門二郎,8
大夫太郎,8
二郎,8
兵衛門四郎,8
末光三郎,8
祐善,8
永沢,9
九郎二郎,9
左衛門,9
治部三郎,9
治部大夫,9
修理,9
将監,9
浄空,9
水沢,9
西方,9
太郎三郎,9
太郎兵衛,9
大蔵左衛門,9
中,9
同阿,9
二郎大夫,9
八郎四郎,9
弥太郎,9
衛門九郎衛門,10
五郎二郎,10
左衛門六郎,10
左近兵衛,10
時松,10
守末,10
太郎次郎,10
大夫,10
八郎衛門,10
彦四郎,10
兵衛,10
兵衛九郎,10
兵衛三郎,10
又二郎衛門,10
林（船頭）,10
六郎兵衛,10
右衛門五郎,11
衛門九郎,11
衛門三郎,11
衛門四郎,11
岡内,11
介太郎,11
刑部四郎,11
刑部二郎,11
左衛門五郎,11
堺三郎,11
三郎五郎,11
三郎大夫,11
次郎,11
次郎五郎,11
次郎太郎,11
七郎,11
助太郎,11
小太郎,11
小二郎,11
少太郎,11
浄仙,11
浄扇（泉）,11
新源,11
新五郎,11
世善,11
太郎,11
太郎衛門,11
大夫五郎,11
大夫三郎,11
大夫二郎,11
藤衛門五郎,11
道観,11
道念,11
二郎衛門,11
二郎四郎,11
馬次郎,11
馬二郎,11
彦次郎,11
彦二郎,11
兵衛五郎,11
妙賢,11
妙全,11
木や・木屋,11
弥二郎,11
六郎四郎,11
紀三郎,12
左近衛門,12
次郎左衛門,12
勢三郎,12
孫四郎,12
右近太郎,13
介三郎,13
吉阿,13
宮内太郎,13
左衛門四郎,13
左近太郎,13
三郎衛門,13
三郎太郎,13
四郎太郎,13
七郎五郎,13
室衛門三郎,13
助,13
助五郎,13
助三郎,13
正言,13
太郎三郎衛門,13
太郎二郎衛門,13
太郎二郎兵衛,13
嶋末,13
藤七大夫,13
藤内,13
道永,13
二郎五郎,13
二郎法師,13
馬四郎,13
馬太郎,13
八郎五郎大蔵,13
八郎二郎,13
彦九郎,13
彦三郎,13
木工,13
弥四郎,13
祐幸,13
右近三郎,14
九郎左衛門,14
源左衛門,14
五郎九郎,14
五郎三郎,14
三郎兵衛,14
四郎五郎,14
次郎四郎,14
治部衛門,14
七郎太郎,14
宗正,14
十郎四郎,14
十郎太郎,14
小三郎,14
小四郎,14
孫九郎,14
藤五,14
藤二郎,14
二郎左衛門,14
彦衛門,14
兵衛次郎,14
又四郎,14
祐覚,14
祐宗,14
九郎五郎,15
三郎九郎,15
惣阿,15
左近,16
兵衛左衛門,16
木工左衛門,16
形部三郎,17
五郎次郎,17
八郎太郎,17
計主,18
四郎衛門,18
主計,18
新三郎,18
水はへ,18
成葉,18
掃部大夫,18
大蔵,18
彦兵衛,18
兵庫,18
祐道,18
雅楽,19
十郎左衛門,19
藤三郎,19
藤四郎,19
八郎三郎,19
彦七,19
又三郎,19
了三郎,19
九郎兵衛,20
四郎二郎,20
七郎兵衛,20
助六,20
孫五郎,20
藤五郎,20
二郎兵衛,20
五郎四郎,21
形部,22
馬五郎,22
又六,22
右馬四郎,23
衛門四郎大夫,23
紀二郎,23
橘五郎,23
九郎三郎,23
犬法師,23
源四郎,23
左衛門九郎,23
左衛門次郎,23
左近太郎兵衛,23
治部,23
式部,23
石三郎五郎,23
千代松,23
掃部三郎,23
孫ツル,23
太郎九郎,23
太郎五郎,23
太郎左衛門,23
太郎四郎,23
太郎二郎,23
弾正,23
長松,23
嶋衛門二郎,23
藤七,23
道心,23
彦六,23
兵衛四郎大夫,23
弥太郎兵衛,23
弥二郎兵衛,23
源三郎,24
三郎次郎,24
帯刀,24
安原,25
浦,25
永珎,25
介兵衛,25
五郎左衛門,25
五郎兵衛,25
左衛門三郎,25
左衛門太郎,25
三郎左衛門,25
三郎四郎,25
四郎左衛門,25
四郎三郎,25
若大夫,25
助兵衛,25
庄官兵衛太郎,25
新衛門,25
孫五郎大夫,25
孫左衛門,25
孫三郎,25
中司,25
中司太郎,25
中務太郎,25
藤衛門,25
彦太郎,25
六郎衛門,25
衛門三郎衛門,26
円阿弥,26
吉内,26
左近九郎,26
七郎左衛門,26
森,26
森方,26
中嶋,26
木工兵衛,26
弥九郎衛門,26
弥六,26
九郎四郎,27
九郎太郎,27
孫兵衛,27